Month,State,CPI Index,YoY %
2013-04-01,Kedah,106.5,2.01
2013-04-01,Kelantan,106.9,1.71
2013-04-01,Melaka,105.9,1.63
2013-04-01,Negeri Sembilan,106.5,1.82
2013-04-01,Pahang,106.6,2.11
2013-04-01,Perak,105.4,1.54
2013-04-01,Perlis,105.0,1.06
2013-04-01,Pulau Pinang,106.4,1.62
2013-04-01,Sabah,106.4,2.11
2013-04-01,Sarawak,105.5,1.34
2013-04-01,Selangor,106.7,2.01
2013-04-01,Terengganu,106.1,1.63
2013-04-01,W.P. Kuala Lumpur,105.0,1.16
2013-04-01,W.P. Labuan,108.5,2.36
2013-04-01,W.P. Putrajaya,106.7,1.62
2013-05-01,Johor,106.9,1.91
2013-05-01,Kedah,106.7,1.81
2013-05-01,Kelantan,107.3,1.71
2013-05-01,Melaka,106.2,1.53
2013-05-01,Negeri Sembilan,106.7,1.81
2013-05-01,Pahang,106.9,2.0
2013-05-01,Perak,105.6,1.54
2013-05-01,Perlis,105.0,0.96
2013-05-01,Pulau Pinang,106.9,1.91
2013-05-01,Sabah,106.2,1.72
2013-05-01,Sarawak,105.7,1.54
2013-05-01,Selangor,107.1,2.1
2013-05-01,Terengganu,106.5,1.62
2013-05-01,W.P. Kuala Lumpur,105.2,1.15
2013-05-01,W.P. Labuan,108.6,1.97
2013-05-01,W.P. Putrajaya,106.5,1.33
2013-06-01,Johor,107.1,1.9
2013-06-01,Kedah,106.8,1.71
2013-06-01,Kelantan,107.8,1.7
2013-06-01,Melaka,106.3,1.53
2013-06-01,Negeri Sembilan,106.8,1.62
2013-06-01,Pahang,106.8,1.81
2013-06-01,Perak,105.7,1.44
2013-06-01,Perlis,104.9,0.67
2013-06-01,Pulau Pinang,107.0,1.71
2013-06-01,Sabah,106.3,1.72
2013-06-01,Sarawak,105.7,1.44
2013-06-01,Selangor,107.2,2.1
2013-06-01,Terengganu,106.7,1.43
2013-06-01,W.P. Kuala Lumpur,105.3,1.25
2013-06-01,W.P. Labuan,108.7,1.97
2013-06-01,W.P. Putrajaya,106.6,1.52
2013-07-01,Johor,107.4,2.19
2013-07-01,Kedah,107.1,2.1
2013-07-01,Kelantan,108.3,2.36
2013-07-01,Melaka,106.5,1.62
2013-07-01,Negeri Sembilan,107.0,1.9
2013-07-01,Pahang,107.0,1.9
2013-07-01,Perak,105.9,1.73
2013-07-01,Perlis,105.1,0.86
2013-07-01,Pulau Pinang,107.1,1.9
2013-07-01,Sabah,106.4,1.72
2013-07-01,Sarawak,106.0,1.53
2013-07-01,Selangor,107.4,2.29
2013-07-01,Terengganu,106.9,1.62
2013-07-01,W.P. Kuala Lumpur,105.4,1.25
2013-07-01,W.P. Labuan,109.0,2.25
2013-07-01,W.P. Putrajaya,106.7,1.72
2013-08-01,Johor,107.6,2.09
2013-08-01,Kedah,107.2,2.1
2013-08-01,Kelantan,108.3,2.07
2013-08-01,Melaka,106.6,1.52
2013-08-01,Negeri Sembilan,107.0,1.81
2013-08-01,Pahang,107.0,1.9
2013-08-01,Perak,106.0,1.83
2013-08-01,Perlis,105.8,1.44
2013-08-01,Pulau Pinang,107.1,1.9
2013-08-01,Sabah,106.5,1.53
2013-08-01,Sarawak,106.4,1.92
2013-08-01,Selangor,107.5,1.99
2013-08-01,Terengganu,106.8,1.62
2013-08-01,W.P. Kuala Lumpur,105.6,1.44
2013-08-01,W.P. Labuan,109.0,2.06
2013-08-01,W.P. Putrajaya,106.8,1.71
2013-09-01,Johor,108.7,2.94
2013-09-01,Kedah,108.3,2.85
2013-09-01,Kelantan,109.0,2.83
2013-09-01,Melaka,107.8,2.47
2013-09-01,Negeri Sembilan,108.2,2.75
2013-09-01,Pahang,108.2,2.75
2013-09-01,Perak,107.1,2.49
2013-09-01,Perlis,106.8,2.2
2013-09-01,Pulau Pinang,108.0,2.47
2013-09-01,Sabah,107.5,2.58
2013-09-01,Sarawak,107.3,2.48
2013-09-01,Selangor,108.1,2.37
2013-09-01,Terengganu,107.6,2.57
2013-09-01,W.P. Kuala Lumpur,106.6,2.21
2013-09-01,W.P. Labuan,110.2,2.89
2013-09-01,W.P. Putrajaya,108.1,2.76
2013-10-01,Johor,109.3,3.5
2013-10-01,Kedah,108.7,2.84
2013-10-01,Kelantan,109.4,3.31
2013-10-01,Melaka,107.9,2.47
2013-10-01,Negeri Sembilan,108.5,2.84
2013-10-01,Pahang,108.6,3.04
2013-10-01,Perak,107.5,2.67
2013-10-01,Perlis,107.8,3.06
2013-10-01,Pulau Pinang,108.4,2.65
2013-10-01,Sabah,107.8,2.57
2013-10-01,Sarawak,107.6,2.67
2013-10-01,Selangor,108.5,2.65
2013-10-01,Terengganu,107.9,2.76
2013-10-01,W.P. Kuala Lumpur,106.8,2.3
2013-10-01,W.P. Labuan,110.3,3.08
2013-10-01,W.P. Putrajaya,108.4,3.04
2013-11-01,Johor,109.5,3.5
2013-11-01,Kedah,108.7,2.94
2013-11-01,Kelantan,109.7,3.49
2013-11-01,Melaka,108.3,2.95
2013-11-01,Negeri Sembilan,108.8,3.13
2013-11-01,Pahang,108.9,2.93
2013-11-01,Perak,107.7,2.77
2013-11-01,Perlis,107.6,2.87
2013-11-01,Pulau Pinang,108.6,2.94
2013-11-01,Sabah,108.1,2.76
2013-11-01,Sarawak,108.0,2.96
2013-11-01,Selangor,108.9,2.93
2013-11-01,Terengganu,108.2,2.85
2013-11-01,W.P. Kuala Lumpur,107.1,2.49
2013-11-01,W.P. Labuan,112.4,4.56
2013-11-01,W.P. Putrajaya,108.6,3.13
2013-12-01,Johor,110.0,3.87
2013-12-01,Kedah,109.1,3.31
2013-12-01,Kelantan,110.2,3.86
2013-12-01,Melaka,108.6,3.13
2013-12-01,Negeri Sembilan,109.2,3.41
2013-12-01,Pahang,109.5,3.5
2013-12-01,Perak,108.0,3.15
2013-12-01,Perlis,107.9,3.06
2013-12-01,Pulau Pinang,109.0,3.32
2013-12-01,Sabah,108.1,2.76
2013-12-01,Sarawak,108.1,3.15
2013-12-01,Selangor,109.1,3.12
2013-12-01,Terengganu,108.7,3.13
2013-12-01,W.P. Kuala Lumpur,107.5,2.87
2013-12-01,W.P. Labuan,112.4,4.46
2013-12-01,W.P. Putrajaya,108.9,3.52
2014-01-01,Johor,110.5,3.76
2014-01-01,Kedah,109.7,3.2
2014-01-01,Kelantan,110.6,3.75
2014-01-01,Melaka,109.2,3.21
2014-01-01,Negeri Sembilan,109.5,3.3
2014-01-01,Pahang,109.9,3.29
2014-01-01,Perak,108.4,3.14
2014-01-01,Perlis,108.3,3.24
2014-01-01,Pulau Pinang,109.5,3.2
2014-01-01,Sabah,108.6,2.55
2014-01-01,Sarawak,108.9,3.62
2014-01-01,Selangor,109.9,3.48
2014-01-01,Terengganu,109.1,2.73
2014-01-01,W.P. Kuala Lumpur,108.0,3.15
2014-01-01,W.P. Labuan,112.9,4.54
2014-01-01,W.P. Putrajaya,109.3,3.7
2014-02-01,Johor,110.7,3.75
2014-02-01,Kedah,110.0,3.48
2014-02-01,Kelantan,110.8,3.75
2014-02-01,Melaka,109.5,3.5
2014-02-01,Negeri Sembilan,109.5,2.91
2014-02-01,Pahang,110.1,3.48
2014-02-01,Perak,108.5,2.94
2014-02-01,Perlis,107.8,2.86
2014-02-01,Pulau Pinang,110.0,3.48
2014-02-01,Sabah,108.8,2.26
2014-02-01,Sarawak,109.1,3.61
2014-02-01,Selangor,110.2,3.67
2014-02-01,Terengganu,109.2,2.92
2014-02-01,W.P. Kuala Lumpur,108.5,3.43
2014-02-01,W.P. Labuan,113.1,4.82
2014-02-01,W.P. Putrajaya,109.6,3.89
2014-03-01,Johor,110.8,3.84
2014-03-01,Kedah,110.2,3.57
2014-03-01,Kelantan,110.9,3.84
2014-03-01,Melaka,109.7,3.69
2014-03-01,Negeri Sembilan,109.6,2.91
2014-03-01,Pahang,110.2,3.28
2014-03-01,Perak,108.6,3.04
2014-03-01,Perlis,108.1,3.05
2014-03-01,Pulau Pinang,110.0,3.38
2014-03-01,Sabah,108.8,2.06
2014-03-01,Sarawak,109.1,3.31
2014-03-01,Selangor,110.3,3.47
2014-03-01,Terengganu,109.3,3.02
2014-03-01,W.P. Kuala Lumpur,108.7,3.62
2014-03-01,W.P. Labuan,113.1,4.24
2014-03-01,W.P. Putrajaya,109.7,3.49
2014-04-01,Johor,110.9,4.03
2014-04-01,Kedah,110.1,3.38
2014-04-01,Kelantan,110.9,3.74
2014-04-01,Melaka,109.6,3.49
2014-04-01,Negeri Sembilan,109.7,3.0
2014-04-01,Pahang,110.3,3.47
2014-04-01,Perak,108.5,2.94
2014-04-01,Perlis,107.9,2.76
2014-04-01,Pulau Pinang,110.2,3.57
2014-04-01,Sabah,108.6,2.07
2014-04-01,Sarawak,109.2,3.51
2014-04-01,Selangor,110.3,3.37
2014-04-01,Terengganu,109.2,2.92
